Councilperson,DocType,Payee,EntityAddressLine1,Payee Address,Date, Amount ,Description,Category,
Tasco,CFR - Schedule III - Statement of Expenditures,DUWAYNE TERRY,429 S 48TH ST,429 S 48TH ST APT 402 PHILA PA 19143,6/11/2008,$100.00 ,TRAVEL,Transportation & Travel,
Kenney,CFR - Schedule III - Statement of Expenditures,Derek Lee,210 Jaralemon Street,210 Jaralemon Street 8th Floor Brooklyn NY 11201,5/20/2008,$172.00 ,reimbursement for travel/testifying,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,CHASE CARD SERVICES,P O BOX 15153,P O BOX 15153  WILMINGTON DE 19886,10/2/2008,$100.00 ,MARRIOTT/ DENVER CO,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,AOL Travel,AOL Travel Reservation ID 736568826767,AOL Travel Reservation ID 736568826767    ,8/5/2008,$423.19 ,2008 Activities,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESSS,P O BOX 1270,P O BOX 1270  NEWARD NJ 7101,11/6/2008,"$1,200.00 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,P O BOX 1270,P O BOX 1270  NEWARK NJ 71011270,3/17/2008,"$5,608.91 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX 1270,PO BOX 1270  NEWARD NJ 7101,12/8/2008,"$5,340.73 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX 1270,PO BOX 1270  NEWARK NJ 7101,7/16/2008,"$2,843.90 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX 1270,PO BOX 1270  NEWARK NJ 7101,7/16/2008,"$2,697.76 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX  1270,PO BOX  1270  NEWARD NJ 7101,12/16/2008,"$2,109.00 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX 1270,PO BOX 1270  NEWARK NJ 7101,5/22/2008,"$1,795.90 ",Travel expense,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,American Express,PO Box 1270,PO Box 1270  Newark NJ 7101,4/15/2008,"$1,774.00 ",Travel,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,P O BOX 1270,P O BOX 1270  NEWARK NJ 7101,1/28/2008,"$1,500.00 ",CAMPAIGN TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX 1270,PO BOX 1270  NEWARK NJ 7101,8/19/2008,"$1,382.26 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX 1270,PO BOX 1270  NEWARK NJ 7101,6/23/2008,"$1,172.24 ",TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,American Express,PO Box 1270,PO Box 1270  Newark NJ 7101,4/15/2008,$914.45 ,Travel,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,P O BOX 1270,P O BOX 1270  NEWARK NJ 7101,10/2/2008,$733.99 ,TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,P O BOX 1270,P O BOX 1270  NEWARK NJ 71011270,5/13/2008,$581.29 ,TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,PO BOX 1270,PO BOX 1270  NEWARK NJ 7101,6/23/2008,$366.74 ,TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,AMERICAN EXPRESS,P O BOX 1270,P O BOX 1270  NEWARK NJ 71011270,5/20/2008,$227.10 ,TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,Amercian Express,PO Box 1270,PO Box 1270  Newark NJ 7101,2/27/2008,"$1,500.00 ",Travel expense,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,Super Shuttle Denver,4900 South Syracuse,4900 South Syracuse  Denver CO 80237,8/26/2008,$38.00 ,2008 Activities,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,Wine & Spirts Store,2717 N. American Street,2717 N. American Street  Philadelphia PA 19122,1/7/2008,$105.84 ,2008 Activities,"Wining, Dining & Entertaining",
Greenlee,CFR - Schedule III - Statement of Expenditures,William K. Greenlee,2932 Ogden St.,2932 Ogden St.  Philadelphia PA 19130,12/2/2008,$310.00 ,Reimbursement - Food for Career Fair,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Whiskey Blue,541 Lexington Ave,541 Lexington Ave  New York NY 100227503,12/14/2008,$66.00 ,food - PA Society,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Wendy's,1 Dave Thomas Blvd,1 Dave Thomas Blvd  Dublin OH 430175452,9/26/2008,$6.52 ,food at Leadership Exchange,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Wasabi Restaurant,725 Red Lion Road,725 Red Lion Road  Philadelphia PA 19115,1/31/2008,$132.65 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Wasabi Restaurant,725 Red Lion Road,725 Red Lion Road  Philadelphia PA 19115,7/9/2008,$57.65 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Wasabi Restaurant,725 Red Lion Road,725 Red Lion Road  Philadelphia PA 19115,3/23/2008,$57.10 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Wasabi Restaurant,725 Red Lion Road,725 Red Lion Road  Philadelphia PA 19115,9/10/2008,$54.15 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Wasabi Restaurant,725 Red Lion Road,725 Red Lion Road  Philadelphia PA 19115,6/19/2008,$49.90 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Wasabi Restaurant,725 Red Lion Road,725 Red Lion Road  Philadelphia PA 19115,8/13/2008,$49.20 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Wasabi Restaurant,725 Red Lion Road,725 Red Lion Road  Philadelphia PA 19115,1/24/2008,$48.00 ,Meal Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Waldorf Astoria & Towers: Bull & Bear Restaura,570 Lexington Ave,570 Lexington Ave  New York NY 100226837,12/12/2008,$339.37 ,food - PA Society,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Waldorf Astoria & Towers: Bull & Bear Restaura,570 Lexington Ave,570 Lexington Ave  New York NY 100226837,12/12/2008,$60.02 ,food - PA Society,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Vesper Club,223 S Sydenham St,223 S Sydenham St  Philadelphia PA 191023702,11/10/2008,$65.69 ,campaign meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Vango Restaurant,116 S 18th St,116 S 18th St  Philadelphia PA 191034901,12/30/2008,$96.08 ,campaign meeting,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tucker's,800 Bay Avenue,800 Bay Avenue  Somers Point NJ 8206,1/7/2008,$287.86 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,1/7/2008,$136.53 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,5/28/2008,$72.16 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,1/24/2008,$43.14 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,1/30/2008,$43.14 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,3/12/2008,$41.36 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,1/18/2008,$38.64 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,1/7/2008,$37.07 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tir Na Nog,1600 Arch Street,1600 Arch Street  Philadelphia PA 19103,1/7/2008,$34.57 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Tinto,116 S. 20th Street,116 S. 20th Street  Philadelphia PA 19103,11/16/2008,$92.97 ,Meal Expense,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Tierra Colombiana,4535 North 5th Street,4535 North 5th Street  Philadelphia PA 19140,3/10/2008,$31.00 ,2008 Meeting Expenses,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Tierra Colombiana,4535 North 5th Street,4535 North 5th Street  Philadelphia PA 19140,1/14/2008,$28.27 ,2008 Meeting Expenses,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Tierra Colombiana,4535 North 5th Street,4535 North 5th Street  Philadelphia PA 19140,8/21/2008,$27.02 ,2008 Meeting Expenses,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Tierra Colombiana,4535 North 5th Street,4535 North 5th Street  Philadelphia PA 19140,6/23/2008,$22.07 ,2008 Meeting Expenses,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,The Princeton,2098 Dune Drive,2098 Dune Drive  Avalon NJ 8202,10/4/2008,$34.00 ,Meal Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,10/6/2008,$61.36 ,campaign meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Happy Rooster,118 S 16th St,118 S 16th St  Philadelphia PA 191022821,7/8/2008,$134.58 ,food for campaign meeting,"Wining, Dining & Entertaining",
Tasco,CFR - Schedule III - Statement of Expenditures,CHARLITA DAVIS,ONE PARKWAY BLDG,ONE PARKWAY BLDG 1515 ARCH ST 12TH FL PHILA PA 19102,11/25/2008,$50.00 ,TICKET,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,CARMEN DESGULANTA,ROOM 490 CITY HALL,ROOM 490 CITY HALL  PHILA PA 19107,10/29/2008,$420.00 ,TICKETS,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,ACCOUNTING ENTRY,,  PHILA PA ,5/12/2008,"$12,845.08 ",TO BALANCE TO BANK STATEMENT,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,Duwayne Terry,429 S.48th St,429 S.48th St  Phila PA 19143,2/1/2008,$328.00 ,Contribution,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Jackie DeStefano,,  Philadelphia PA 19146,2/20/2008,$60.00 ,Contribution for Benefit,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Jerome Azarewicz,2815 Hellerman Street,2815 Hellerman Street  Philadelphia PA 19149,8/15/2008,$50.00 ,Contribution,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,JIM BROWN,5274 PARKSIDE AVE,5274 PARKSIDE AVE  PHILA PA 19131,9/3/2008,$50.00 ,DONATION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,JOSEPHINE BLOW C/O CHESTER AVENUE BUS. ASSOC,5424 CHESTER AVE,5424 CHESTER AVE  PHILA PA 19143,8/19/2008,$100.00 ,DONATION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,MELVIN FIGUEROA,6403 DOREL STREET,6403 DOREL STREET  PHILA PA 19142,8/8/2008,$100.00 ,DONATION - MEMORY OF LA'TOYIA FIGUEROA,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,OCTAVIA THOMAS,6238 WASHINGTON  AVE,6238 WASHINGTON  AVE  PHILADELPHIA PA 19143,6/2/2008,$500.00 ,DONATION - OLYMPIC TRIALS,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,PAUL EARTHQUAKE MOORE,6702 LINMORE AVE,6702 LINMORE AVE  PHILA PA 19142,10/7/2008,$100.00 ,DONATION,Miscellaneous & Unclear,
Clarke,CFR - Schedule III - Statement of Expenditures,Virneder Wroter,2122 Boston st,2122 Boston st  Phila PA 19121,3/18/2008,$200.00 ,donation,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,CHARLENE WILLIAMS C/O 700 BLOCK S. 60TH STREET,710 S. 60TH STREET,710 S. 60TH STREET  PHILA PA 19143,8/19/2008,$50.00 ,DONATION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,EUGENE HART,516 E. WALNUT LN,516 E. WALNUT LN  PHILA PA 19144,12/31/2008,"$1,000.00 ",DONATION TO SON FOR OLYMPIC TRIALS,Miscellaneous & Unclear,
O'Neill,CFR - Schedule III - Statement of Expenditures,For Pete's Sake,900 Strahle Street,900 Strahle Street  Philadelphia PA 19111,12/15/2008,$50.00 ,Contribution,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,MHASP,1211 CHESTNUT 11TH FL,1211 CHESTNUT 11TH FL  PHILADELPHIA PA 191074103,4/1/2008,$100.00 ,TICKET,Miscellaneous & Unclear,
